# Figura 6.15 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 5 — Pot [pc]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
1.13,100.0519
9.94,100.0519
15.02,97.2413
36.32,87.3004
37.25,87.0827
38.18,86.6521
39.11,86.1103
40.02,85.6750
41.88,84.8139
43.26,84.2721
44.19,83.8416
45.13,83.4062
46.06,82.9757
46.97,82.4339
47.90,82.0033
49.28,81.5680
50.21,81.1374
51.14,80.5956
53.00,79.7346
53.91,79.1928
57.16,77.7851
78.00,67.7328
83.08,65.7882
88.19,63.5194
90.96,62.1165
94.20,60.7088
96.97,59.4124
100.22,58.0047
127.07,45.0354
156.24,31.7421
159.02,30.8762
182.17,19.9580
184.94,18.8793
190.05,16.4993
192.82,15.2028
196.06,13.7999
198.83,12.3922
202.10,10.9894
228.95,5.0441
1456.34,5.0441
