# Figura 6.16 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 5 — Vagua [L]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
0.78,4.0821
99.79,4.0821
126.83,22.0118
155.82,55.8566
201.71,55.8566
228.78,73.8870
237.94,73.8870
263.06,94.1334
290.11,134.6263
317.17,172.9031
342.27,204.4312
368.84,242.7080
393.95,278.7688
421.00,321.5784
448.06,362.0713
473.18,393.5993
500.23,434.0922
525.35,467.9370
552.39,510.6459
577.51,548.9227
604.55,589.5163
629.17,625.5771
656.24,666.0700
681.36,706.4621
708.40,749.2717
733.52,787.5486
760.56,828.1422
785.68,861.8862
812.73,906.9119
837.85,945.1887
864.89,985.6816
889.53,1008.2448
916.58,1051.0544
941.69,1089.3312
968.74,1132.0401
993.86,1170.3169
1018.98,1210.9105
1046.02,1255.9362
1071.14,1298.7458
1098.18,1345.9875
1122.83,1384.2643
1147.92,1427.0739
1174.99,1476.6324
1200.11,1519.3413
1227.15,1568.8997
1252.27,1607.1765
1277.39,1652.2022
1304.43,1701.7606
1329.06,1744.5702
1356.12,1794.1287
1381.20,1834.6215
1406.34,1879.6472
1433.40,1929.2056
1458.50,1974.2313
