# Figura 6.17 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 6 — DeltaT [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
120.38,0.0019
120.38,0.8208
356.69,0.8208
356.69,0.6222
593.00,0.6222
593.00,0.4221
829.32,0.4221
829.32,0.2221
1057.75,0.2221
1057.75,0.0234
1294.07,0.0234
1294.06,-0.1766
1294.06,-0.1032
1530.38,-0.0312
1530.38,-0.1305
1530.38,-0.0586
1530.38,-0.1579
1766.69,-0.0859
1766.69,-0.1852
1766.69,-0.0399
2003.00,-0.0399
2003.00,-0.1392
2003.00,-0.0658
2003.00,-0.1665
2003.00,-0.0917
2231.44,-0.0917
2231.44,-0.1924
2231.44,-0.0442
2231.44,-0.1435
2231.44,-0.0701
2467.75,-0.0701
2467.75,-0.1694
2467.75,-0.0960
2467.75,-0.1952
2467.75,-0.0471
2704.07,-0.0471
2704.06,-0.1478
2704.07,-0.0730
2704.06,-0.1722
2704.06,-0.0974
2940.38,-0.0974
2940.38,-0.1967
2940.38,-0.0471
2940.38,-0.1464
3176.69,-0.0701
3176.69,-0.1694
3176.69,-0.0960
3405.13,-0.0960
3405.13,-0.1952
3405.13,-0.0428
3405.13,-0.1420
3405.13,-0.0658
3641.44,-0.0658
3641.44,-0.1665
3641.44,-0.0902
3641.44,-0.1895
3641.44,-0.0370
3641.44,-0.1363
3641.44,-0.0600
3877.75,-0.0600
3877.75,-0.1593
3877.75,-0.0830
3877.75,-0.1823
3877.75,-0.1046
4114.07,-0.0269
4114.06,-0.1276
4114.07,-0.0500
4114.06,-0.1493
4350.38,-0.0715
4350.38,-0.1708
4350.38,0.1775
4578.81,0.1775
4578.81,-0.0226
4815.13,-0.0226
4815.13,-0.1219
4815.13,-0.0428
4815.13,-0.1435
4815.13,0.2048
5051.44,0.2048
5051.44,0.0048
5287.75,0.0048
5287.75,-0.1938
5287.75,-0.1162
5524.06,-0.0370
5524.06,-0.1377
5524.06,0.2120
5524.06,0.1127
5752.50,0.1127
5752.50,0.0119
5988.81,0.0119
5988.81,-0.1866
5988.81,-0.0298
6225.13,-0.0298
6225.13,-0.1291
6225.13,0.2192
6225.13,0.1199
6461.44,0.1199
6461.44,-0.0787
6697.75,-0.0787
6697.75,-0.1794
6697.75,0.2494
6697.75,0.1487
6926.19,0.1487
6926.19,-0.0500
7162.50,-0.0500
7162.50,-0.1507
7162.50,-0.0686
7398.81,-0.0686
7398.81,-0.1694
7398.81,-0.0888
7398.81,-0.1895
7398.81,0.1602
7398.81,0.0609
7635.13,0.0609
7635.13,-0.1392
7635.12,-0.0586
7871.44,-0.0586
7871.44,-0.1579
7871.44,0.1919
7871.44,0.0925
8099.87,0.0925
8099.87,-0.0082
8336.19,-0.0082
8336.19,-0.1075
8336.19,-0.0269
8336.19,-0.1262
8336.19,0.2221
8572.50,0.2221
8572.50,0.0234
8808.81,0.0234
8808.81,-0.1766
8808.81,0.1746
9045.13,0.1746
9045.12,-0.0255
9273.56,-0.0255
9273.56,-0.1248
9273.56,-0.0428
9509.87,-0.0428
9509.87,-0.1435
9509.87,-0.0614
9509.87,-0.1608
9509.87,-0.0787
9746.19,-0.0787
9746.19,-0.1794
9746.19,-0.0974
9746.19,-0.1967
9746.19,-0.0312
9982.50,-0.0312
9982.50,-0.1305
9982.50,-0.0485
9982.50,-0.1478
9982.50,-0.0658
10218.81,-0.0658
10218.81,-0.1651
10218.81,-0.0830
10218.81,-0.1823
10218.81,-0.0989
10447.25,-0.0154
10447.25,-0.1147
10447.25,-0.0312
10447.25,-0.1305
10683.56,-0.0471
10683.56,-0.1478
10683.56,-0.0629
10683.56,-0.1622
10683.56,-0.0787
10919.87,-0.0787
10919.87,-0.1780
10919.87,-0.0931
10919.87,-0.1924
11156.19,-0.1090
11156.19,-0.0240
11156.19,-0.1233
11156.19,-0.0384
11392.50,-0.0384
11392.50,-0.1377
11392.50,-0.0528
11392.50,-0.1521
11392.50,-0.0658
11620.93,-0.0658
11620.93,-0.1665
11620.93,-0.0802
11620.93,-0.1809
11620.93,-0.0946
11857.25,-0.0946
11857.25,-0.1938
11857.25,-0.0226
11857.25,-0.1219
11857.25,-0.0356
12093.56,-0.0356
12093.56,-0.1348
12093.56,-0.0485
12093.56,-0.1478
12329.87,-0.0614
12329.87,-0.1608
12329.87,-0.0744
12566.19,-0.0744
12566.19,-0.1737
12566.19,-0.0859
12566.19,-0.1866
12566.19,-0.0111
12794.62,-0.0111
12794.62,-0.1104
12794.62,-0.0240
12794.62,-0.1233
12794.62,-0.0341
13030.93,-0.0341
13030.93,-0.1348
13030.93,-0.0471
13030.93,-0.1464
13030.93,-0.0571
13267.25,-0.0571
13267.25,-0.1565
13267.25,-0.0686
13267.25,-0.5033
13503.56,-0.3262
13503.56,-0.0902
13503.56,-0.1895
13503.56,-0.0111
13503.56,-0.1119
13739.87,-0.0226
13739.87,-0.4557
13739.87,-0.1061
13968.31,-0.0168
13968.31,-0.1162
13968.31,-0.0269
14204.62,-0.0269
14204.62,-0.1262
14204.62,-0.0356
14204.62,-0.4673
14204.62,-0.2931
14440.93,-0.2039
14440.93,-0.0240
14440.93,-0.1233
14440.93,-0.0327
14677.25,-0.0327
14677.25,-0.1320
14677.25,-0.0413
14677.25,-0.1406
14913.56,-0.4716
14913.56,-0.0240
15142.00,-0.0240
15142.00,-0.1248
15142.00,-0.0327
15142.00,-0.1320
15142.00,-0.0399
15378.31,-0.0399
15378.31,-0.4702
15378.31,-0.0183
15614.62,-0.0183
15614.62,-0.1176
15614.62,-0.0269
15614.62,-0.1262
15614.62,-0.0341
15850.93,-0.0341
15850.93,-0.4615
15850.93,-0.0082
16087.25,-0.0082
16087.25,-0.1090
16087.25,-0.0154
16315.68,-0.0154
16315.68,-0.1147
16315.68,-0.0240
16315.68,-0.4500
16315.68,-0.1823
16552.00,-0.0888
16552.00,-0.1895
16552.00,-0.0960
16552.00,-0.1952
16552.00,-0.0082
16788.31,-0.0082
16788.31,-0.4342
16788.31,-0.0730
16788.31,-0.1737
16788.31,-0.0787
17024.62,-0.0787
17024.62,-0.1794
17024.62,-0.0859
17024.62,-0.1852
