# Figura 6.2 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 1 — DeltaI
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
-0.07,-0.0043
2.86,0.1503
5.79,0.3073
9.31,0.4652
14.01,0.4711
19.28,0.4779
23.98,0.4846
29.27,0.4905
33.95,0.4963
39.24,0.5014
43.94,0.5072
49.21,0.5140
53.91,0.5190
59.18,0.5249
63.88,0.5299
69.17,0.5350
73.85,0.5408
79.14,0.5459
83.83,0.5509
89.12,0.5560
93.82,0.5602
99.09,0.5652
103.79,0.5703
109.06,0.5753
113.76,0.5795
119.05,0.5828
123.73,0.5879
129.02,0.5921
133.70,0.5963
138.99,0.6014
143.69,0.6055
148.96,0.6089
153.66,0.6131
158.93,0.6173
163.63,0.6215
168.92,0.6257
173.60,0.6291
178.89,0.6324
183.58,0.6366
188.86,0.6408
193.56,0.6433
198.84,0.6475
203.54,0.6509
208.81,0.6543
213.51,0.6576
218.80,0.6618
223.48,0.6643
228.77,0.6685
234.04,0.6719
238.74,0.6744
244.03,0.6778
248.71,0.6820
254.00,0.6845
258.68,0.6879
263.99,0.6904
268.69,0.6937
273.96,0.6980
278.66,0.7005
283.95,0.7038
288.63,0.7072
293.92,0.7097
298.62,0.7131
303.89,0.7156
308.59,0.7190
313.86,0.7223
318.56,0.7248
323.85,0.7282
328.54,0.7307
333.83,0.7341
338.51,0.7374
343.80,0.7391
348.50,0.7425
353.77,0.7450
358.47,0.7483
363.74,0.7509
368.44,0.7542
373.73,0.7576
378.41,0.7593
384.29,0.7593
385.45,0.7584
391.33,0.7584
392.49,0.7576
398.37,0.7576
399.53,0.7559
404.82,0.7559
405.41,0.7551
411.27,0.7551
412.45,0.7542
418.31,0.7542
419.49,0.7534
425.35,0.7534
426.53,0.7526
431.22,0.7526
432.39,0.7509
438.26,0.7509
439.44,0.7500
445.30,0.7500
446.48,0.7492
452.36,0.7492
453.52,0.7483
459.40,0.7483
460.56,0.7475
466.44,0.7475
467.60,0.7458
474.64,0.7458
475.23,0.7450
481.68,0.7450
482.27,0.7441
488.13,0.7441
489.31,0.7433
495.19,0.7433
496.35,0.7425
503.39,0.7425
504.57,0.7408
510.43,0.7408
511.61,0.7399
517.47,0.7399
518.65,0.7391
525.10,0.7391
526.28,0.7383
532.14,0.7383
533.32,0.7374
540.36,0.7374
541.54,0.7357
547.40,0.7357
548.58,0.7349
555.63,0.7349
556.20,0.7341
563.24,0.7341
564.42,0.7332
571.46,0.7332
572.05,0.7324
580.27,0.7324
581.43,0.7307
588.47,0.7307
589.06,0.7299
596.10,0.7299
597.28,0.7290
604.32,0.7290
605.50,0.7282
613.11,0.7282
614.29,0.7273
621.33,0.7273
622.51,0.7257
630.14,0.7257
631.30,0.7248
638.93,0.7248
640.11,0.7240
648.33,0.7240
649.49,0.7231
658.30,0.7231
659.47,0.7223
667.10,0.7223
668.28,0.7206
678.25,0.7206
679.43,0.7198
688.22,0.7198
689.40,0.7190
699.37,0.7190
699.96,0.7181
709.93,0.7181
711.11,0.7173
721.08,0.7173
722.26,0.7156
732.23,0.7156
732.82,0.7147
742.79,0.7147
743.97,0.7139
753.94,0.7139
755.12,0.7131
766.27,0.7131
766.85,0.7122
778.00,0.7122
779.18,0.7106
790.92,0.7106
792.08,0.7097
803.82,0.7097
805.00,0.7089
816.72,0.7089
817.90,0.7080
830.23,0.7080
830.80,0.7072
843.13,0.7072
843.72,0.7055
857.21,0.7055
857.80,0.7047
870.70,0.7047
871.88,0.7038
885.97,0.7038
887.15,0.7030
900.64,0.7030
901.82,0.7021
917.65,0.7021
918.83,0.7005
934.09,0.7005
934.66,0.6996
949.92,0.6996
950.51,0.6988
966.93,0.6988
967.52,0.6980
982.78,0.6980
983.96,0.6971
999.80,0.6971
1000.98,0.6954
1018.58,0.6954
1019.76,0.6946
1037.93,0.6946
1038.52,0.6937
1058.48,0.6937
1059.64,0.6929
1080.76,0.6929
1081.35,0.6921
1102.48,0.6921
1103.66,0.6904
1124.78,0.6904
1125.37,0.6896
1145.31,0.6896
1146.49,0.6887
1168.79,0.6887
1169.38,0.6879
1192.25,0.6879
1193.43,0.6870
1217.49,0.6870
1218.67,0.6853
1245.65,0.6853
1246.24,0.6845
1257.39,0.6845
1280.28,0.6333
1303.15,0.5820
1304.33,0.5812
1335.43,0.5812
1336.02,0.5804
1369.47,0.5804
1370.04,0.5795
1394.11,0.5795
1416.98,0.5274
1431.07,0.5274
1432.25,0.5266
1436.95,0.5266
