# Figura 6.3 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 2 — Tmed [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
1.36,302.9956
3.97,303.3046
7.08,303.5005
10.19,303.7992
30.96,300.2957
36.17,299.3888
41.35,298.4922
46.02,297.5849
51.22,296.8841
76.15,296.4821
122.89,296.0804
168.07,296.2866
214.82,296.2866
238.21,296.3792
263.14,296.0804
285.99,296.2866
308.84,296.4821
333.78,296.3792
356.63,296.5853
381.55,296.3792
404.92,296.5853
429.85,296.4821
454.79,296.3792
479.72,296.3792
504.64,296.2866
527.49,296.4821
552.42,296.3792
602.80,296.3792
627.73,296.2866
650.58,296.4821
673.43,296.6882
696.28,296.8841
719.65,296.9874
730.55,296.9874
731.61,297.0903
760.16,297.0903
761.20,296.9874
762.24,297.0903
793.40,297.0903
794.44,297.1829
826.12,297.1829
827.16,297.2861
861.43,297.2861
862.47,297.3890
887.41,297.3890
888.45,297.2861
897.28,297.2861
898.32,297.3890
934.15,297.3890
935.19,297.4820
973.09,297.4820
974.13,297.5849
1014.13,297.5849
1015.17,297.4820
1018.28,297.2861
1045.81,297.2861
1046.85,297.3890
1092.03,297.3890
1093.07,297.4820
1140.86,297.4820
1141.90,297.3890
1142.94,297.4820
1195.91,297.4820
1196.95,297.5849
1254.08,297.5849
1254.60,297.6881
1267.58,297.6881
1268.61,297.5849
1271.72,297.2861
1299.78,297.2861
1300.82,297.3890
1369.89,297.3890
1370.92,297.4820
1394.83,297.4820
1395.86,297.3890
1438.44,297.3890
