Tempo    Pot Rx    Pot Turbina     Tmed   Delta I  Cboro  Banco D  Volume de Água


1       4.92     32.0          292.3      0.000        1800       144     0
2       4.92     32.0          292.3      0.000        1800       144     0
3       4.92     32.0          292.3      0.000        1800       144     0
4       4.92     32.0          292.3      0.000        1800       144     0
5       4.92     32.0          292.3      0.000        1800       144     0
6       4.92     32.0          292.3      0.000        1800       144     0
7       4.92     32.0          292.3      0.000        1800       144     0
8       4.92     32.0          292.3      0.000        1800       144     0
9       4.92     32.0          292.3      0.000        1800       144     0
10       4.92     32.0          292.3      0.000        1800       144     0
11       5.22     34.0          292.3      0.000        1800       144     0
12       5.37     34.9          292.3      0.000        1800       144     0
13       5.53     36.0          292.3      0.000        1800       144     0
16       5.99     38.9          292.5      0.014        1800       145     0
17       6.14     39.9          292.5      0.016        1800       145     0
18       6.30     40.9          292.5      0.017        1800       145     0
19       6.45     41.9          292.5      0.019        1800       145     0
20       6.61     42.9          292.5      0.021        1800       145     0
21       6.76     44.0          292.5      0.023        1800       145     0
22       6.91     44.9          292.5      0.025        1800       145     0
25       7.38     48.0          292.8      0.042        1800       146     0
26       7.53     48.9          292.8      0.045        1800       146     0
27       7.68     49.9          292.8      0.047        1800       146     0
28       7.83     50.9          292.8      0.049        1800       146     0
29       7.99     51.9          292.8      0.052        1800       146     0
30       8.15     53.0          292.8      0.054        1800       146     0
31       8.30     53.9          292.8      0.056        1800       146     0
34       8.76     56.9          293.1      0.077        1800       147     0
35       8.92     58.0          293.1      0.079        1800       147     0
36       9.06     58.9          293.1      0.082        1800       147     0
37       9.22     59.9          293.1      0.085        1800       147     0
38       9.38     61.0          293.1      0.087        1800       147     0
39       9.53     61.9          293.1      0.090        1800       147     0
40       9.68     62.9          293.0      0.093        1800       147     0
43       10.14     65.9          293.3      0.116        1800       148     0
44       10.30     66.9          293.3      0.119        1800       148     0
45       10.46     68.0          293.3      0.122        1800       148     0
46       10.60     68.9          293.3      0.125        1800       148     0
47       10.76     69.9          293.3      0.128        1800       148     0
48       10.92     70.9          293.3      0.131        1800       148     0
49       11.07     72.0          293.3      0.135        1800       148     0
52       11.53     74.9          293.6      0.161        1800       149     0
57       12.29     79.9          293.6      0.178        1800       149     0
58       12.45     80.9          293.6      0.182        1800       149     0
61       12.91     84.0          293.8      0.211        1800       150     0
66       13.67     88.9          293.8      0.230        1800       150     0
71       14.44     94.0          293.8      0.249        1800       150     0
74       14.91     97.0          294.1      0.283        1800       151     0
79       15.67     102.0          294.0      0.304        1800       151     0
84       16.43     106.9          294.0      0.326        1800       151     0
87       16.91     110.0          294.3      0.364        1800       152     0
92       17.66     115.0          294.2      0.387        1800       152     0
97       18.43     120.0          294.2      0.411        1800       152     0
100       18.90     123.0          294.5      0.454        1800       153     0
105       19.66     128.0          294.4      0.479        1800       153     0
110       20.43     133.0          294.4      0.505        1800       153     0
113       20.90     136.0          294.7      0.552        1800       154     0
118       21.66     141.0          294.6      0.580        1800       154     0
121       22.13     144.0          294.9      0.629        1800       155     0
126       22.88     149.0          294.7      0.658        1800       155     0
129       23.36     152.0          295.0      0.710        1800       156     0
134       24.11     157.0          294.9      0.739        1800       156     0
