Tempo    Pot Rx    Pot Turbina     Tmed   Delta I  Cboro  Banco D  Volume de Água


1       100.00     650.0          303.0      0.000        1800       210     0
4       100.00     650.0          303.3      0.154        1800       211     0
7       100.00     650.0          303.5      0.310        1800       212     0
10       100.00     650.0          303.8      0.467        1800       213     0
15       100.00     650.0          303.8      0.473        1800       213     0
20       100.00     650.0          303.8      0.479        1800       213     0
25       100.00     650.0          303.8      0.486        1800       213     0
30       100.00     650.0          303.8      0.492        1800       213     0
35       100.00     650.0          303.8      0.498        1800       213     0
40       100.00     650.0          303.8      0.503        1800       213     0
45       100.00     650.0          303.8      0.509        1800       213     0
50       100.00     650.0          303.8      0.515        1800       213     0
55       100.00     650.0          303.8      0.520        1800       213     0
60       100.00     650.0          303.8      0.526        1800       213     0
65       100.00     650.0          303.8      0.531        1800       213     0
70       100.00     650.0          303.8      0.536        1800       213     0
75       100.00     650.0          303.8      0.542        1800       213     0
80       100.00     650.0          303.8      0.547        1800       213     0
85       100.00     650.0          303.8      0.552        1800       213     0
90       100.00     650.0          303.8      0.557        1800       213     0
95       100.00     650.0          303.8      0.561        1800       213     0
100       100.00     650.0          303.8      0.566        1800       213     0
105       100.00     650.0          303.8      0.571        1800       213     0
110       100.00     650.0          303.8      0.576        1800       213     0
115       100.00     650.0          303.8      0.580        1800       213     0
120       100.00     650.0          303.8      0.584        1800       213     0
125       100.00     650.0          303.8      0.589        1800       213     0
130       100.00     650.0          303.7      0.593        1800       213     0
135       100.00     650.0          303.7      0.597        1800       213     0
140       100.00     650.0          303.7      0.602        1800       213     0
145       100.00     650.0          303.7      0.606        1800       213     0
150       100.00     650.0          303.7      0.610        1800       213     0
155       100.00     650.0          303.7      0.614        1800       213     0
160       100.00     650.0          303.7      0.618        1800       213     0
165       100.00     650.0          303.7      0.622        1800       213     0
170       100.00     650.0          303.7      0.626        1800       213     0
175       100.00     650.0          303.7      0.630        1800       213     0
180       100.00     650.0          303.7      0.633        1800       213     0
185       100.00     650.0          303.7      0.637        1800       213     0
190       100.00     650.0          303.7      0.641        1800       213     0
195       100.00     650.0          303.7      0.644        1800       213     0
200       100.00     650.0          303.7      0.648        1800       213     0
205       100.00     650.0          303.7      0.651        1800       213     0
210       100.00     650.0          303.7      0.655        1800       213     0
215       100.00     650.0          303.7      0.658        1800       213     0
220       100.00     650.0          303.7      0.662        1800       213     0
225       100.00     650.0          303.7      0.665        1800       213     0
230       100.00     650.0          303.7      0.669        1800       213     0
235       100.00     650.0          303.7      0.672        1800       213     0
240       100.00     650.0          303.7      0.675        1800       213     0
245       100.00     650.0          303.7      0.678        1800       213     0
250       100.00     650.0          303.7      0.682        1800       213     0
255       100.00     650.0          303.6      0.685        1800       213     0
260       100.00     650.0          303.6      0.688        1800       213     0
265       100.00     650.0          303.6      0.691        1800       213     0
270       100.00     650.0          303.6      0.694        1800       213     0
275       100.00     650.0          303.6      0.698        1800       213     0
280       100.00     650.0          303.6      0.701        1800       213     0
285       100.00     650.0          303.6      0.704        1800       213     0
290       100.00     650.0          303.6      0.707        1800       213     0
295       100.00     650.0          303.6      0.710        1800       213     0
300       100.00     650.0          303.6      0.713        1800       213     0
